result-index	lemma
0	líhnout
0	líhnutí
1	zlíhnout
1	zlíhnutí
2	vyždibovat
2	vyždibování
3	vyždibovávat
3	vyždibovávání
4	administrovat
4	administrování
5	administrovávat
5	administrovávání
6	zadministrovávat
6	zadministrovávání
7	zaadministrovávat
7	zaadministrovávání
8	zaadministrovat
8	zaadministrování
9	zadministrovat
9	zadministrování
10	znekonečnit
10	znekonečnění
11	sezdat
11	sezdání
12	sezdávat
12	sezdávání
13	zatriumfovávat
13	zatriumfovávání
14	zatriumfovat
14	zatriumfování
15	triumfovávat
15	triumfovávání
16	triumfovat
16	triumfování
17	zmalomyslňovávat
17	zmalomyslňovávání
18	zmalomyslňovat
18	zmalomyslňování
19	uplvat
19	uplvání
20	uplvávat
20	uplvávání
21	šmejdit
21	šmejdění
22	vyšmejdit
22	vyšmejdění
23	prošmejdit
23	prošmejdění
24	šmejdívat
24	šmejdívání
25	zašmejdit
25	zašmejdění
26	orodovat
26	orodování
27	vyorodovat
27	vyorodování
28	vyorodovávat
28	vyorodovávání
29	zaorodovat
29	zaorodování
30	orodovávat
30	orodovávání
31	zaorodovávat
31	zaorodovávání
32	oiksovat
32	oiksování
33	zaiksovat
33	zaiksování
34	zaiksovávat
34	zaiksovávání
35	oiksovávat
35	oiksovávání
36	zmozolňovat
36	zmozolňování
37	zmozolňovávat
37	zmozolňovávání
38	uákat
38	uákání
39	uákávat
39	uákávání
40	kandirovat
40	kandirování
41	kandirovávat
41	kandirovávání
42	inokulovat
42	inokulování
43	inokulovávat
43	inokulovávání
44	elidovat
44	elidování
45	elidovávat
45	elidovávání
46	otápět
46	otápění
47	otápívat
47	otápívání
48	zveřejnět
48	zveřejnění
49	žejbrat
49	žejbrání
50	vyžejbrat
50	vyžejbrání
51	žejbrovat
51	žejbrování
52	vyžejbrávat
52	vyžejbrávání
53	vyžejbrovat
53	vyžejbrování
54	žejbrávat
54	žejbrávání
55	žejbrovávat
55	žejbrovávání
56	vyžejbrovávat
56	vyžejbrovávání
57	zalígrovat
57	zalígrování
58	zalígrovávat
58	zalígrovávání
59	zmanýrovatět
59	zmanýrovatění
60	výdělkařit
60	výdělkaření
61	výdělkařívat
61	výdělkařívání
62	doabsentovávat
62	doabsentovávání
63	absentovat
63	absentování
64	absentovávat
64	absentovávání
65	doabsentovat
65	doabsentování
66	zatrnit
66	zatrnění
67	nadvýšit
67	nadvýšení
68	pilírovat
68	pilírování
69	pilírovávat
69	pilírovávání
70	zařachtávat
70	zařachtávání
71	absurdizovávat
71	absurdizovávání
72	absurdizovat
72	absurdizování
73	dokličkovat
73	dokličkování
74	obháčkovávat
74	obháčkovávání
75	obháčkovat
75	obháčkování
76	háčkovat
76	háčkování
77	obkličkovat
77	obkličkování
78	doháčkovávat
78	doháčkovávání
79	oháčkovat
79	oháčkování
80	zakličkovávat
80	zakličkovávání
81	zaháknout
81	zaháknutí
82	zakličkovat
82	zakličkování
83	zhákovat
83	zhákování
84	proháčkovat
84	proháčkování
85	přiháčkovávat
85	přiháčkovávání
86	vyháčkovávat
86	vyháčkovávání
87	obkličkovávat
87	obkličkovávání
88	oháčkovávat
88	oháčkovávání
89	uháčkovávat
89	uháčkovávání
90	odháčkovat
90	odháčkování
91	kličkovat
91	kličkování
92	odkličkovávat
92	odkličkovávání
93	prokličkovat
93	prokličkování
94	odkličkovat
94	odkličkování
95	vyhákovávat
95	vyhákovávání
96	sháčkovávat
96	sháčkovávání
97	vykličkovat
97	vykličkování
98	přihákovávat
98	přihákovávání
99	vyháknout
99	vyháknutí
100	vháčkovat
100	vháčkování
101	zahákovávat
101	zahákovávání
102	zahákovat
102	zahákování
103	doháčkovat
103	doháčkování
104	proháčkovávat
104	proháčkovávání
105	sháčkovat
105	sháčkování
106	prokličkovávat
106	prokličkovávání
107	přihákovat
107	přihákování
108	rozkličkovávat
108	rozkličkovávání
109	vykličkovávat
109	vykličkovávání
110	uháčkovat
110	uháčkování
111	zaháčkovávat
111	zaháčkovávání
112	vyhákovat
112	vyhákování
113	kličkovávat
113	kličkovávání
114	rozkličkovat
114	rozkličkování
115	přiháčkovat
115	přiháčkování
116	dokličkovávat
116	dokličkovávání
117	zaklikatit
117	zaklikacení
118	klikatit
118	klikacení
119	zaháčkovat
119	zaháčkování
120	zklikatit
120	zklikacení
121	vháčkovávat
121	vháčkovávání
122	odháčkovávat
122	odháčkovávání
123	ukličkovávat
123	ukličkovávání
124	zhákovávat
124	zhákovávání
125	vyháčkovat
125	vyháčkování
126	klikatívat
126	klikatívání
127	hákovat
127	hákování
128	hákovávat
